호선,역명,시간(분),거리(km),누계(km),이전역,상하행
1,도봉산,1:30,0,0,도봉,상행
1,도봉,1:30,0,0,방학,상행
1,방학,2:00,0,0,창동,상행
1,창동,2:00,0,0,녹천,상행
1,녹천,2:00,0,0,월계,상행
1,월계,1:30,0,0,광운대,상행
1,광운대,2:00,0,0,석계,상행
1,석계,2:00,0,0,신이문,상행
1,신이문,1:30,0,0,외대앞,상행
1,외대앞,1:30,0,0,회기,상행
1,회기,3:00,0,0,청량리,상행
1,청량리,1:30,0,0,제기동,상행
1,제기동,1:30,0,0,신설동,상행
1,신설동,2:00,0,0,동묘앞,상행
1,동묘앞,1:30,0,0,동대문,상행
1,동대문,1:30,0,0,종로5가,상행
1,종로5가,1:30,0,0,종로3가,상행
1,종로3가,1:30,0,0,종각,상행
1,종각,2:30,0,0,시청,상행
1,시청,2:00,0,0,서울,상행
1,서울,3:00,0,0,남영,상행
1,남영,2:00,0,0,용산,상행
1,용산,3:00,0,0,노량진,상행
1,노량진,2:00,0,0,대방,상행
1,대방,1:30,0,0,신길,상행
1,신길,2:30,0,0,영등포,상행
1,영등포,2:00,0,0,신도림,상행
1,신도림,2:00,0,0,구로,상행
1,구로,2:00,0,0,구일,상행
1,구일,2:00,0,0,개봉,상행
1,개봉,2:00,0,0,오류동,상행
1,오류동,2:30,0,0,온수,상행
1,온수,0:00,0,0,종점,상행
1,구로,4:00,0,0,가산디지털단지,상행
1,가산디지털단지,2:30,0,0,독산,상행
1,독산,2:00,0,0,금천구청,상행
1,금천구청,0:00,0,0,종점,상행
2,시청,1:30,0.7,0.7,을지로입구,외선
2,을지로입구,1:00,0.8,1.5,을지로3가,외선
2,을지로3가,1:00,0.6,2.1,을지로4가,외선
2,을지로4가,1:30,1,3.1,동대문역사문화공원,외선
2,동대문역사문화공원,1:30,0.9,4,신당,외선
2,신당,1:00,0.9,4.9,상왕십리,외선
2,상왕십리,1:00,0.8,5.7,왕십리,외선
2,왕십리,1:30,1,6.7,한양대,외선
2,한양대,1:30,1.1,7.8,뚝섬,외선
2,뚝섬,1:00,0.8,8.6,성수,외선
2,성수,1:30,1.2,9.8,건대입구,외선
2,건대입구,2:00,1.6,11.4,구의,외선
2,구의,1:00,0.9,12.3,강변,외선
2,강변,2:00,1.8,14.1,잠실나루,외선
2,잠실나루,1:30,1,15.1,잠실,외선
2,잠실,1:30,1.2,16.3,잠실새내,외선
2,잠실새내,1:30,1.2,17.5,종합운동장,외선
2,종합운동장,1:30,1,18.5,삼성,외선
2,삼성,1:30,1.3,19.8,선릉,외선
2,선릉,1:30,1.2,21,역삼,외선
2,역삼,1:00,0.8,21.8,강남,외선
2,강남,1:30,1.2,23,교대,외선
2,교대,1:00,0.7,23.7,서초,외선
2,서초,2:00,1.7,25.4,방배,외선
2,방배,2:30,1.6,27,사당,외선
2,사당,2:00,1.7,28.7,낙성대,외선
2,낙성대,1:30,1,29.7,서울대입구,외선
2,서울대입구,1:00,1,30.7,봉천,외선
2,봉천,1:30,1.1,31.8,신림,외선
2,신림,2:00,1.8,33.6,신대방,외선
2,신대방,1:30,1.1,34.7,구로디지털단지,외선
2,구로디지털단지,1:30,1.1,35.8,대림,외선
2,대림,2:30,1.8,37.6,신도림,외선
2,신도림,2:00,1.2,38.8,문래,외선
2,문래,1:00,0.9,39.7,영등포구청,외선
2,영등포구청,1:30,1.1,40.8,당산,외선
2,당산,2:30,2,42.8,합정,외선
2,합정,1:30,1.1,43.9,홍대입구,외선
2,홍대입구,2:00,1.3,45.2,신촌,외선
2,신촌,1:00,0.8,46,이대,외선
2,이대,1:00,0.9,46.9,아현,외선
2,아현,1:30,0.8,47.7,충정로,외선
2,충정로,1:30,1.1,48.8,시청,외선
2,용답,3:00,2.3,51.1,성수,외선
2,신답,1:30,1,52.1,용답,외선
2,용두,1:30,0.9,53,신답,외선
2,신설동,1:30,1.2,54.2,용두,외선
2,신도림,1:30,0.9,53,도림천,외선
2,도림천,2:30,1.7,56.9,양천구청,외선
2,양천구청,3:00,1.9,58.8,신정네거리,외선
2,신정네거리,2:30,1.4,60.2,까치산,외선
3,지축,3:00,1.5,1.5,구파발,상행
3,구파발,2:00,2,3.5,연신내,상행
3,연신내,1:30,1.3,4.8,불광,상행
3,불광,1:30,1.1,5.9,녹번,상행
3,녹번,2:00,1.6,7.5,홍제,상행
3,홍제,1:30,0.9,8.4,무악재,상행
3,무악재,1:30,1.1,9.5,독립문,상행
3,독립문,2:00,1.6,11.1,경복궁,상행
3,경복궁,1:30,1.1,12.2,안국,상행
3,안국,1:30,1,13.2,종로3가,상행
3,종로3가,1:00,0.6,13.8,을지로3가,상행
3,을지로3가,1:00,0.7,14.5,충무로,상행
3,충무로,1:30,0.9,15.4,동대입구,상행
3,동대입구,1:00,0.7,16.1,약수,상행
3,약수,1:00,0.8,16.9,금호,상행
3,금호,1:00,0.8,17.7,옥수,상행
3,옥수,2:00,2.1,19.8,압구정,상행
3,압구정,2:00,1.5,21.3,신사,상행
3,신사,1:30,0.9,22.2,잠원,상행
3,잠원,1:30,1.2,23.4,고속터미널,상행
3,고속터미널,2:00,1.6,25,교대,상행
3,교대,1:30,0.9,25.9,남부터미널,상행
3,남부터미널,2:00,1.8,27.7,양재,상행
3,양재,2:00,1.2,28.9,매봉,상행
3,매봉,1:30,0.8,29.7,도곡,상행
3,도곡,1:00,0.8,30.5,대치,상행
3,대치,1:00,0.8,31.3,학여울,상행
3,학여울,1:30,0.9,32.2,대청,상행
3,대청,1:30,1.2,33.4,일원,상행
3,일원,2:00,1.8,35.2,수서,상행
3,수서,2:00,1.4,36.6,가락시장,상행
3,가락시장,1:00,0.8,37.4,경찰병원,상행
3,경찰병원,1:00,0.8,38.2,오금,상행
3,오금,0:00,0,0,종점,상행
4,당고개,1:30,1.2,1.2,상계,상행
4,상계,1:30,1,2.2,노원,상행
4,노원,2:00,1.4,3.6,창동,상행
4,창동,1:30,1.3,4.9,쌍문,상행
4,쌍문,2:00,1.5,6.4,수유,상행
4,수유,1:30,1.4,7.8,미아,상행
4,미아,2:00,1.5,9.3,미아사거리,상행
4,미아사거리,1:30,1.3,10.6,길음,상행
4,길음,2:00,1.4,12,성신여대입구,상행
4,성신여대입구,1:30,1,13,한성대입구,상행
4,한성대입구,1:30,0.9,13.9,혜화,상행
4,혜화,2:00,1.5,15.4,동대문,상행
4,동대문,1:00,0.7,16.1,동대문역사문화공원,상행
4,동대문역사문화공원,2:00,1.3,17.4,충무로,상행
4,충무로,1:00,0.7,18.1,명동,상행
4,명동,1:00,0.7,18.8,회현,상행
4,회현,1:30,0.9,19.7,서울,상행
4,서울,1:30,1,20.7,숙대입구,상행
4,숙대입구,1:30,1.2,21.9,삼각지,상행
4,삼각지,1:00,0.7,22.6,신용산,상행
4,신용산,1:30,1.3,23.9,이촌,상행
4,이촌,3:00,2.7,26.6,동작,상행
4,동작,2:30,1.8,28.4,총신대입구(이수),상행
4,총신대입구(이수),1:30,1.1,29.5,사당,상행
4,사당,1:30,2.2,31.7,남태령,상행
4,남태령,0:00,0,0,종점,상행
5,방화,1:30,0.9,0.9,개화산,상행
5,개화산,1:40,1.2,2.1,김포공항,상행
5,김포공항,2:10,1.2,3.3,송정,상행
5,송정,1:30,1.1,4.4,마곡,상행
5,마곡,1:40,1.2,5.6,발산,상행
5,발산,1:30,1.1,6.7,우장산,상행
5,우장산,1:30,1,7.7,화곡,상행
5,화곡,1:30,1.2,8.9,까치산,상행
5,까치산,1:50,1.3,10.2,신정(은행정),상행
5,신정(은행정),1:10,0.8,11,목동,상행
5,목동,1:20,0.9,11.9,오목교(목동운동장앞),상행
5,오목교(목동운동장앞),1:20,1,12.9,양평,상행
5,양평,1:10,0.8,13.7,영등포구청,상행
5,영등포구청,1:10,0.9,14.6,영등포시장,상행
5,영등포시장,1:30,1.1,15.7,신길,상행
5,신길,1:30,1,16.7,여의도,상행
5,여의도,1:20,1,17.7,여의나루,상행
5,여의나루,2:00,1.8,19.5,마포,상행
5,마포,1:10,0.8,20.3,공덕,상행
5,공덕,1:20,1.1,21.4,애오개,상행
5,애오개,1:20,0.9,22.3,충정로,상행
5,충정로,1:00,0.7,23,서대문,상행
5,서대문,1:30,1.1,24.1,광화문,상행
5,광화문,1:40,1.2,25.3,종로3가,상행
5,종로3가,1:40,1,26.3,을지로4가,상행
5,을지로4가,1:30,0.9,27.2,동대문역사문화공원,상행
5,동대문역사문화공원,1:20,0.9,28.1,청구,상행
5,청구,1:30,0.9,29,신금호,상행
5,신금호,1:20,0.9,29.9,행당,상행
5,행당,1:10,0.9,30.8,왕십리,상행
5,왕십리,1:00,0.7,31.5,마장,상행
5,마장,1:40,1,32.5,답십리,상행
5,답십리,1:40,1.2,33.7,장한평,상행
5,장한평,1:40,1.5,35.2,군자(능동),상행
5,군자(능동),1:30,1,36.2,아차산(어린이대공원후문),상행
5,아차산(어린이대공원후문),1:50,1.5,37.7,광나루(장신대),상행
5,광나루(장신대),2:10,2,39.7,천호(풍납토성),상행
5,천호(풍납토성),1:10,0.8,40.5,강동,상행
5,강동,1:30,0.9,41.4,길동,상행
5,길동,1:10,0.8,42.2,굽은다리(강동구민회관앞),상행
5,굽은다리(강동구민회관앞),1:10,0.8,43,명일,상행
5,명일,1:40,1.2,44.2,고덕,상행
5,고덕,1:40,1.1,45.3,상일동,상행
5,상일동,1:50,0.8,46.1,강일,상행
5,강동,1:50,1.2,54,둔촌동,상행
5,둔촌동,1:40,1.4,55.4,올림픽공원(한국체대),상행
5,올림픽공원(한국체대),1:20,0.8,56.2,방이,상행
5,방이,1:20,0.9,57.1,오금,상행
5,오금,1:10,0.9,58,개롱,상행
5,개롱,1:20,0.9,58.9,거여,상행
5,거여,1:30,0.9,59.8,마천,상행
5,마천,0:00,0,0,종점,상행
6,응암순환(상선),2:00,1.5,6.6,구산,상행
6,역촌,1:40,1.1,1.1,응암순환(상선),상행
6,불광,1:20,0.8,1.9,역촌,상행
6,독바위,1:20,0.9,2.8,불광,상행
6,연신내,2:10,1.4,4.2,독바위,상행
6,구산,1:20,0.9,5.1,연신내,상행
6,응암순황(상선),1:20,0.9,7.5,새절(신사),상행
6,새절(신사),1:20,0.9,8.4,증산(명지대앞),상행
6,증산(명지대앞),1:20,1.1,9.5,디지털미디어시티,상행
6,디지털미디어시티,1:10,0.8,10.3,월드컵경기장(성산),상행
6,월드컵경기장(성산),1:10,0.8,11.1,마포구청,상행
6,마포구청,1:20,1,12.1,망원,상행
6,망원,1:20,0.8,12.9,합정,상행
6,합정,1:10,0.8,13.7,상수,상행
6,상수,1:10,0.9,14.6,광흥창,상행
6,광흥창,1:30,1,15.6,대흥(서강대앞),상행
6,대흥(서강대앞),1:20,0.9,16.5,공덕,상행
6,공덕,1:20,0.9,17.4,효창공원앞,상행
6,효창공원앞,1:30,1.2,18.6,삼각지,상행
6,삼각지,1:40,1.1,19.7,녹사평,상행
6,녹사평,1:10,0.8,20.5,이태원,상행
6,이태원,1:30,1,21.5,한강진,상행
6,한강진,1:30,1,22.5,버티고개,상행
6,버티고개,1:10,0.7,23.2,약수,상행
6,약수,1:10,0.8,24,청구,상행
6,청구,1:10,0.7,24.7,신당,상행
6,신당,1:00,0.6,25.3,동묘앞,상행
6,동묘앞,1:20,0.9,26.2,창신,상행
6,창신,1:10,0.8,27,보문,상행
6,보문,1:10,0.9,27.9,안암(고대병원앞),상행
6,안암(고대병원앞),1:10,0.8,28.7,고려대,상행
6,고려대,1:40,1.4,30.1,월곡(동덕여대),상행
6,월곡(동덕여대),1:10,0.8,30.9,상월곡(한국과학기술연구원),상행
6,상월곡(한국과학기술연구원),1:10,0.8,31.7,돌곶이,상행
6,돌곶이,1:20,1,32.7,석계,상행
6,석계,1:10,0.8,33.5,태릉입구,상행
6,태릉입구,1:10,0.9,34.4,화랑대(서울여대입구),상행
6,화랑대(서울여대입구),1:20,0.7,35.1,봉화산,상행
6,봉화산,4:30,1.3,36.4,신내,상행
6,신내,0:00,0,0,종점,상행
7,장암,4:30,1.4,1.4,도봉산,상행
7,도봉산,2:20,1.6,3,수락산,상행
7,수락산,2:00,1.4,4.4,마들,상행
7,마들,1:30,1.2,5.6,노원,상행
7,노원,1:20,1.1,6.7,중계,상행
7,중계,1:10,1,7.7,하계,상행
7,하계,1:30,1.3,9,공릉(서울산업대입구),상행
7,공릉(서울산업대입구),1:00,0.8,9.8,태릉입구,상행
7,태릉입구,1:10,0.9,10.7,먹골,상행
7,먹골,1:20,0.9,11.6,중화,상행
7,중화,1:50,1,12.6,상봉,상행
7,상봉,1:10,0.8,13.4,면목,상행
7,면목,1:10,0.9,14.3,사가정,상행
7,사가정,1:10,0.8,15.1,용마산,상행
7,용마산,1:20,0.9,16,중곡,상행
7,중곡,1:20,1.1,17.1,군자(능동),상행
7,군자(능동),1:20,1.1,18.2,어린이대공원(세종대),상행
7,어린이대공원(세종대),1:20,0.8,19,건대입구,상행
7,건대입구,1:30,1,20,뚝섬유원지,상행
7,뚝섬유원지,2:30,2,22,청담,상행
7,청담,1:30,1.1,23.1,강남구청,상행
7,강남구청,1:10,0.9,24,학동,상행
7,학동,1:20,1,25,논현,상행
7,논현,1:10,0.9,25.9,반포,상행
7,반포,1:30,0.9,26.8,고속터미널,상행
7,고속터미널,2:30,2.2,29,내방,상행
7,내방,1:30,1,30,총신대입구(이수),상행
7,총신대입구(이수),1:20,1,31,남성,상행
7,남성,2:30,2,33,숭실대입구(살피재),상행
7,숭실대입구(살피재),1:10,0.9,33.9,상도(중앙대앞),상행
7,상도(중앙대앞),2:30,0.9,34.8,장승배기,상행
7,장승배기,1:50,1.2,36,신대방삼거리,상행
7,신대방삼거리,1:10,0.8,36.8,보라매,상행
7,보라매,2:20,0.9,37.7,신풍,상행
7,신풍,2:00,1.4,39.1,대림,상행
7,대림,1:30,1.1,40.2,남구로,상행
7,남구로,1:20,0.8,41,가산디지털단지,상행
7,가산디지털단지,2:00,1.4,42.4,철산,상행
7,철산,1:50,1.3,43.7,광명사거리,상행
7,광명사거리,2:00,1.7,45.4,천왕,상행
7,천왕,2:20,1.5,46.9,온수,상행
7,온수,0:00,0,0,종점,상행
8,암사,1:30,1.3,1.3,천호(풍납토성),상행
8,천호(풍납토성),1:20,0.9,2.2,강동구청,상행
8,강동구청,2:00,1.6,3.8,몽촌토성(평화의문),상행
8,몽촌토성(평화의문),1:10,0.8,4.6,잠실,상행
8,잠실,1:50,1.2,5.8,석촌,상행
8,석촌,1:10,0.9,6.7,송파,상행
8,송파,1:10,0.8,7.5,가락시장,상행
8,가락시장,1:10,0.9,8.4,문정,상행
8,문정,1:10,0.9,9.3,장지,상행
8,장지,1:10,0.9,10.2,복정,상행
8,복정,1:50,1.5,11.7,남위례,상행
8,남위례,1:40,1.2,12.9,산성,상행
8,산성,2:10,1.3,14.2,"남한산성입구(성남법원,검찰청)",상행
8,"남한산성입구(성남법원,검찰청)",1:10,0.8,15,단대오거리,상행
8,단대오거리,1:10,0.8,15.8,신흥,상행
8,신흥,1:10,0.9,16.7,수진,상행
8,수진,1:30,1,17.7,모란,상행
